Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,,"QuantFEED Market Data - Vienna Global Market Ultra (1435:VIH) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Warsaw Stock Exchange, Warsaw Stock Exchange (NewConnect) (1101:WAR,1230:WAS) - Ref, L1, L2 MBL Depth5 - Real-Time","13,336"
,,,,"QuantFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1, L2 MBL Depth10 - Real-Time","13,336"
,,,EU - Slough - Equinix - LD4 Total,,"416,421"
,,QuantFEED Total,,,"416,421"
,,,,,"416,421"
[anonymised],Customer 231,QuantFEED,EU - London - Interxion - LON1,"QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Athens Indices including FTSE/Athens Indices (1174:ATI) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Athens Securities (1004:ATH) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Cboe Australia (1026:CHA) - Ref, L1 - Real-Time","3,709"
,,,,"QuantFEED Market Data - Cboe BZX (1009:BZX) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1 - Real-Time","8,936"
,,,,"QuantFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - Euronext Milan DER (1018:IDM) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - HKEx Securities (1038:HKE) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - JSE Equities (1047:JSE) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1 - Real-Time","7,015"
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1 - Real-Time","7,015"
